run,queryIndex,queryId,scenario,terminalState,outcome,totalMs,executionMs,anchorAndPersistenceMs,retryCount,remoteRequestAttempts,receiptBytes,receiptRoot,anchorTxHash,anchorBlockHeight,auditVerified,expectedBehavior,appliedFaults,error
0,0,livebench-2026-08-25T01-46-44-989Z-0-normal-0,normal,ANCHORED,SATISFIED,524.509,68,456.509,0,6,14484,0xd41cb221c0ecd47ae42e4361e51d66b3f134d0517f8c00e936ad0286c6d828a6,0xe1628a55d1ef77f72c4a6a5e26d61e67def429ef556ec87cee81e1abd78804e2,41,true,true,[],
0,1,livebench-2026-08-25T01-46-44-989Z-0-normal-1,normal,ANCHORED,SATISFIED,480.69,76,404.69,0,6,14486,0x085b127c9a0f229d1855ccdaa53c8de4a1aed15d0c64ed9d55794cfb987fbc50,0x3da36303702f2b091bbac5ff7ef2f668bd6b44bc3ff31d698d1abaa1c9053c12,42,true,true,[],
0,2,livebench-2026-08-25T01-46-44-989Z-0-normal-2,normal,ANCHORED,SATISFIED,507.688,42,465.688,0,6,14486,0xb2727d980a77467d001c0009940589669a54c7a8ff8c71acf9a6bc389a5e5190,0x89c4f86ef0523e4793617432c8cb9e464038626a0e18f5127a829e4a10cb2f83,43,true,true,[],
0,3,livebench-2026-08-25T01-46-44-989Z-0-normal-3,normal,ANCHORED,SATISFIED,503.907,57,446.907,0,6,14484,0xe18265e0750cb3314e7a76b0ef6fd0dbc68a2c874b62f0a437ea9002174c0de5,0xae278d3e3ff7aac3204b00686303a757efabeb82f2cd79aba304ce774ec476ef,44,true,true,[],
0,4,livebench-2026-08-25T01-46-44-989Z-0-normal-4,normal,ANCHORED,SATISFIED,504.756,52,452.756,0,6,14484,0x52959f24677ee3fb347b0b43bcf47bc29256bbe5975e25691dfd99fe6f047f63,0x9a48bec5b4bf6c96982b84f2423a96f76bec61eed3d336bed7d7423b8810b728,45,true,true,[],
0,5,livebench-2026-08-25T01-46-44-989Z-0-normal-5,normal,ANCHORED,SATISFIED,504.44,59,445.44,0,6,14486,0xb8ef8f6c82f971636dfc435e2faea8df4ab01750ad17de54fb847057675b08d4,0x925b00987bf96a62cc3c7b2ee7111101a29a511e8d54ff2d0c4b8f84501016ae,46,true,true,[],
0,6,livebench-2026-08-25T01-46-44-989Z-0-normal-6,normal,ANCHORED,SATISFIED,500.857,37,463.857,0,6,14486,0x6b5e9c59b10251be89dd4314ea8f405b529e76e323c604dca7b3ed891fc61a1d,0xb66a7bdee5cc8ca8e001823464e451b6a8475c2f6ecf8728e7fc73884d959e48,47,true,true,[],
0,7,livebench-2026-08-25T01-46-44-989Z-0-normal-7,normal,ANCHORED,SATISFIED,508.292,58,450.292,0,6,14484,0xd2aa60e927763037c1763fdbfce03a344abcf86350e3b20ecc25aa91f956221e,0xcf2530e0cf047abbf1ba9bfc7278a4f48415c901a9dcfa92eac7fa9a8125c273,48,true,true,[],
0,8,livebench-2026-08-25T01-46-44-989Z-0-normal-8,normal,ANCHORED,SATISFIED,503.247,66,437.247,0,6,14486,0xfddc2e618c55f7c22882b5ee8da99c25c0cc652bb116625ee807950cd928e26d,0x25d1e200505caea42e65018c8965814b1e222f0e6d12e1f28ae6b8e4b25f0589,49,true,true,[],
0,9,livebench-2026-08-25T01-46-44-989Z-0-normal-9,normal,ANCHORED,SATISFIED,501.132,46,455.132,0,6,14486,0xdc0e617d70db4abbadb5bf6ada33ecd98039aaaafdb0b084698431bf706d36e4,0x58dd9d7eb14469fe3140c1dfee3903fc89e0df2bc821b3f378a04511fb24d66d,50,true,true,[],
